dataset_id,status,initial_cost_inr,annual_cost_inr,engineering_cost,maintenance_cost,licensing_risk,legal_risk,source,notes
mutual_fund_holdings,BUNDLED,UNKNOWN,UNKNOWN,MEDIUM,MEDIUM,UNKNOWN,MEDIUM,docs/hmdpca/cost_matrix.csv,No standalone price is assigned; evaluate within package ownership_data.
official_bse_daily_history,PUBLISHED,UNKNOWN,120000,MEDIUM,MEDIUM,MEDIUM,LOW,docs/hmdpca/cost_matrix.csv,"Published reference price; scope, history and permitted use require contract confirmation."
official_nse_daily_history,PUBLISHED,UNKNOWN,100000,MEDIUM,MEDIUM,MEDIUM,LOW,docs/hmdpca/cost_matrix.csv,"Published reference price; scope, history and permitted use require contract confirmation."
ownership_data,QUOTE_REQUIRED,UNKNOWN,UNKNOWN,HIGH,HIGH,UNKNOWN,MEDIUM,docs/hmdpca/cost_matrix.csv,Supplier quote and rights schedule required; DVRA does not invent a price.
promoter_holdings,BUNDLED,UNKNOWN,UNKNOWN,MEDIUM,MEDIUM,UNKNOWN,MEDIUM,docs/hmdpca/cost_matrix.csv,No standalone price is assigned; evaluate within package ownership_data.
rights,BUNDLED,UNKNOWN,UNKNOWN,MEDIUM,MEDIUM,UNKNOWN,MEDIUM,docs/hmdpca/cost_matrix.csv,No standalone price is assigned; evaluate within package corporate_actions.
risk_free_rate,NO_LICENSE_FEE_IDENTIFIED,0,0,LOW,LOW,MEDIUM,MEDIUM,docs/hmdpca/cost_matrix.csv,No license fee identified in the audit; retention and non-display rights remain to be confirmed.
security_master,PUBLISHED,UNKNOWN,215000,MEDIUM,MEDIUM,MEDIUM,LOW,docs/hmdpca/cost_matrix.csv,"Published reference price; scope, history and permitted use require contract confirmation."
splits,BUNDLED,UNKNOWN,UNKNOWN,MEDIUM,MEDIUM,UNKNOWN,MEDIUM,docs/hmdpca/cost_matrix.csv,No standalone price is assigned; evaluate within package corporate_actions.
symbol_history,BUNDLED,UNKNOWN,UNKNOWN,MEDIUM,MEDIUM,UNKNOWN,MEDIUM,docs/hmdpca/cost_matrix.csv,No standalone price is assigned; evaluate within package security_master.
trading_calendar,NO_LICENSE_FEE_IDENTIFIED,0,0,LOW,LOW,MEDIUM,MEDIUM,docs/hmdpca/cost_matrix.csv,No license fee identified in the audit; retention and non-display rights remain to be confirmed.
turnover_trade_count,BUNDLED,UNKNOWN,UNKNOWN,MEDIUM,MEDIUM,UNKNOWN,MEDIUM,docs/hmdpca/cost_matrix.csv,Expected within an exchange market-data package; standalone price not established.
