dataset_id,gross_value_score,priority_index,overall_roi,confidence,cost_status,replay_gain,unavailable_value_score,dependent_unlocks_lost,rationale
earnings_surprises,56,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,MEDIUM,56,0,Gross decision value 56/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
fii_holdings,63,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,MEDIUM,63,0,Gross decision value 63/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
historical_index_membership,84,UNKNOWN,UNKNOWN,INSUFFICIENT,QUOTE_REQUIRED,HIGH,84,4,Gross decision value 84/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
historical_index_ohlc,75,UNKNOWN,UNKNOWN,INSUFFICIENT,QUOTE_REQUIRED,HIGH,75,3,Gross decision value 75/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
historical_sector_membership,75,UNKNOWN,UNKNOWN,INSUFFICIENT,QUOTE_REQUIRED,MEDIUM,75,2,Gross decision value 75/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
india_vix,54,38,LOW,MEDIUM,NO_LICENSE_FEE_IDENTIFIED,MEDIUM,54,1,Gross decision value 54/100 from explicit evidence rubrics. Cost-adjusted priority index 38/100; this is not a financial-return forecast.
isin_history,79,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,HIGH,79,10,Gross decision value 79/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
listing_history,79,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,HIGH,79,2,Gross decision value 79/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
market_breadth,74,48,MEDIUM,MEDIUM,NO_LICENSE_FEE_IDENTIFIED,MEDIUM,74,2,Gross decision value 74/100 from explicit evidence rubrics. Cost-adjusted priority index 48/100; this is not a financial-return forecast.
mergers,77,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,HIGH,77,1,Gross decision value 77/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
mutual_fund_holdings,63,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,MEDIUM,63,0,Gross decision value 63/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
official_bse_daily_history,56,18,LOW,HIGH,PUBLISHED,MEDIUM,56,2,Gross decision value 56/100 from explicit evidence rubrics. Cost-adjusted priority index 18/100; this is not a financial-return forecast.
official_nse_daily_history,90,60,HIGH,HIGH,PUBLISHED,HIGH,90,7,Gross decision value 90/100 from explicit evidence rubrics. Cost-adjusted priority index 60/100; this is not a financial-return forecast.
ownership_data,62,UNKNOWN,UNKNOWN,INSUFFICIENT,QUOTE_REQUIRED,MEDIUM,62,8,Gross decision value 62/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
promoter_holdings,63,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,MEDIUM,63,0,Gross decision value 63/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
rights,72,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,MEDIUM,72,1,Gross decision value 72/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
risk_free_rate,42,26,LOW,MEDIUM,NO_LICENSE_FEE_IDENTIFIED,MEDIUM,42,1,Gross decision value 42/100 from explicit evidence rubrics. Cost-adjusted priority index 26/100; this is not a financial-return forecast.
security_master,88,50,MEDIUM,HIGH,PUBLISHED,HIGH,88,21,Gross decision value 88/100 from explicit evidence rubrics. Cost-adjusted priority index 50/100; this is not a financial-return forecast.
splits,77,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,HIGH,77,1,Gross decision value 77/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
symbol_history,79,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,HIGH,79,1,Gross decision value 79/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
trading_calendar,59,43,MEDIUM,MEDIUM,NO_LICENSE_FEE_IDENTIFIED,MEDIUM,59,3,Gross decision value 59/100 from explicit evidence rubrics. Cost-adjusted priority index 43/100; this is not a financial-return forecast.
turnover_trade_count,47,UNKNOWN,UNKNOWN,INSUFFICIENT,BUNDLED,MEDIUM,47,1,Gross decision value 47/100 from explicit evidence rubrics. Overall cost-adjusted ROI remains UNKNOWN because no comparable standalone price is established.
