ambiguity_risk,default_semantics,enum_domain,field_name,field_path,fingerprint_participation,historical_availability,historical_version,institutional_decision_participation,model,nullable,point_in_time_source,policy_dependency,producer,required,serialization_format,source_file,source_sha256,trade_plan_participation,type
LOW,DECLARED_MODEL_DEFAULT,,market_regime_points,recommendation.score_breakdown.market_regime_points,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,RecommendationScoreBreakdown,false,point-in-time technical evidence,RECOMMENDATION_POLICY,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,DECLARED_MODEL_DEFAULT,,maximum_holding_period,recommendation.trade_setup.maximum_holding_period,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,TradeSetupAssessment,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,int | None
LOW,DECLARED_MODEL_DEFAULT,,minimum_holding_period,recommendation.trade_setup.minimum_holding_period,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,TradeSetupAssessment,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,int | None
LOW,DECLARED_MODEL_DEFAULT,,profit_factor,recommendation.trade_setup.profit_factor,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,TradeSetupAssessment,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,decimal.Decimal | None
LOW,DECLARED_MODEL_DEFAULT,,rationale,recommendation.trade_setup.rationale,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,TradeSetupAssessment,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'str'>
LOW,DECLARED_MODEL_DEFAULT,,readiness_reason,recommendation.trade_setup.readiness_reason,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,TradeSetupAssessment,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'str'>
LOW,DECLARED_MODEL_DEFAULT,,regime_adjustment_points,recommendation.score_breakdown.regime_adjustment_points,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,RecommendationScoreBreakdown,false,point-in-time technical evidence,RECOMMENDATION_POLICY,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,DECLARED_MODEL_DEFAULT,,relative_strength_points,recommendation.score_breakdown.relative_strength_points,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,RecommendationScoreBreakdown,false,point-in-time technical evidence,RECOMMENDATION_POLICY,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,DECLARED_MODEL_DEFAULT,,retracement_points,recommendation.score_breakdown.retracement_points,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,RecommendationScoreBreakdown,false,point-in-time technical evidence,RECOMMENDATION_POLICY,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,DECLARED_MODEL_DEFAULT,,retracement_weight,recommendation.score_breakdown.retracement_weight,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,RecommendationScoreBreakdown,false,point-in-time technical evidence,RECOMMENDATION_POLICY,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,DECLARED_MODEL_DEFAULT,,sector_strength_points,recommendation.score_breakdown.sector_strength_points,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,RecommendationScoreBreakdown,false,point-in-time technical evidence,RECOMMENDATION_POLICY,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,DECLARED_MODEL_DEFAULT,,trade_strategies,recommendation.trade_strategies,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,RecommendationReport,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,"tuple[alpha.recommendation_intelligence.models.TradeStrategyPlaybook, ...]"
LOW,DECLARED_MODEL_DEFAULT,,trend_structure_points,recommendation.score_breakdown.trend_structure_points,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,RecommendationScoreBreakdown,false,point-in-time technical evidence,RECOMMENDATION_POLICY,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,DECLARED_MODEL_DEFAULT,,volume_confirmation_points,recommendation.score_breakdown.volume_confirmation_points,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,RecommendationScoreBreakdown,false,point-in-time technical evidence,RECOMMENDATION_POLICY,RecommendationEngine._build_one,false,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,NO_DEFAULT,,adjusted_allocation_percent,recommendation.allocation.adjusted_allocation_percent,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,AllocationAdjustment,false,recommendation producer input,PORTFOLIO_POLICY,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,NO_DEFAULT,,adjustment_points,recommendation.allocation.adjustment_points,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,AllocationAdjustment,false,recommendation producer input,PORTFOLIO_POLICY,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,NO_DEFAULT,,aggressive_entry,recommendation.trade_setup.aggressive_entry,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,TradeSetupAssessment,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,decimal.Decimal | None
LOW,NO_DEFAULT,,allocation,recommendation.allocation,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,RecommendationReport,false,recommendation producer input,PORTFOLIO_POLICY,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'alpha.recommendation_intelligence.models.AllocationAdjustment'>
LOW,NO_DEFAULT,,atr_trail,recommendation.trade_setup.atr_trail,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,TradeSetupAssessment,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'str'>
LOW,NO_DEFAULT,,average_drawdown,recommendation.trade_strategies.edge_stats.average_drawdown,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,StrategyEdgeStats,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,decimal.Decimal | None
LOW,NO_DEFAULT,,average_return,recommendation.trade_strategies.edge_stats.average_return,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,StrategyEdgeStats,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,decimal.Decimal | None
LOW,NO_DEFAULT,,base_allocation_percent,recommendation.allocation.base_allocation_percent,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,AllocationAdjustment,false,recommendation producer input,PORTFOLIO_POLICY,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,NO_DEFAULT,,better_candidates,recommendation.opportunity_cost.better_candidates,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,OpportunityCostAssessment,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,"tuple[alpha.recommendation_intelligence.models.CandidateComparison, ...]"
LOW,NO_DEFAULT,,candidate_count,recommendation.opportunity_cost.candidate_count,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,OpportunityCostAssessment,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'int'>
LOW,NO_DEFAULT,,confirmation_entry,recommendation.trade_setup.confirmation_entry,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,TradeSetupAssessment,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,decimal.Decimal | None
LOW,NO_DEFAULT,,description,recommendation.trade_strategies.entry_zone_basis.description,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,EntryZoneBasis,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'str'>
LOW,NO_DEFAULT,,edge_stats,recommendation.trade_strategies.edge_stats,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,TradeStrategyPlaybook,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,alpha.recommendation_intelligence.models.StrategyEdgeStats | None
LOW,NO_DEFAULT,,entry_high,recommendation.trade_strategies.entry_high,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,TradeStrategyPlaybook,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,decimal.Decimal | None
LOW,NO_DEFAULT,,entry_low,recommendation.trade_strategies.entry_low,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,TradeStrategyPlaybook,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,decimal.Decimal | None
LOW,NO_DEFAULT,,entry_ready,recommendation.trade_setup.entry_ready,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,true,TradeSetupAssessment,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'bool'>
LOW,NO_DEFAULT,,entry_zone_basis,recommendation.trade_strategies.entry_zone_basis,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,TradeStrategyPlaybook,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,"tuple[alpha.recommendation_intelligence.models.EntryZoneBasis, ...]"
LOW,NO_DEFAULT,,expectancy,recommendation.trade_strategies.edge_stats.expectancy,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,StrategyEdgeStats,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,decimal.Decimal | None
LOW,NO_DEFAULT,,expected_drawdown,recommendation.expected_value.expected_drawdown,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,ExpectedValueAssessment,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,NO_DEFAULT,,expected_drawdown,recommendation.opportunity_cost.better_candidates.expected_drawdown,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,CandidateComparison,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,NO_DEFAULT,,expected_holding_period,recommendation.trade_strategies.expected_holding_period,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,TradeStrategyPlaybook,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'str'>
LOW,NO_DEFAULT,,expected_holding_period_days,recommendation.expected_value.expected_holding_period_days,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,ExpectedValueAssessment,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,NO_DEFAULT,,expected_return,recommendation.expected_value.expected_return,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,ExpectedValueAssessment,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,NO_DEFAULT,,expected_return,recommendation.opportunity_cost.better_candidates.expected_return,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,CandidateComparison,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'decimal.Decimal'>
LOW,NO_DEFAULT,,expected_value,recommendation.expected_value,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,RecommendationReport,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'alpha.recommendation_intelligence.models.ExpectedValueAssessment'>
LOW,NO_DEFAULT,,expected_wait_days,recommendation.trade_strategies.expected_wait_days,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,TradeStrategyPlaybook,true,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,int | None
LOW,NO_DEFAULT,,explanation,recommendation.explanation,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,RecommendationReport,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,"tuple[str, ...]"
LOW,NO_DEFAULT,,explanation,recommendation.trade_strategies.explanation,true,RECONSTRUCTABLE_FOR_DSI002_ONLY,CURRENT_MODEL_BOUND_TO_DSI002_SOURCE,false,TradeStrategyPlaybook,false,recommendation producer input,PRODUCER_CONTRACT,RecommendationEngine._build_one,true,CANONICAL_JSON_V1,alpha/recommendation_intelligence/models.py,262f6d805c9342bce2d1d9330ac5c1995bfdae77b51eb6f972c47ac4b22f93e3,false,<class 'str'>
