dataset_id,domain,dataset,source,provider_class,official,historical_depth,coverage_pct,coverage_basis,fields,corporate_action_quality,point_in_time_safe,download_method,api,bulk_download,license_status,commercial_use,redistribution,cost_band,published_cost,confidence,quality_grade,update_frequency,source_url,verified_on,decision,production_influence
FACTSET_PRICING,A_DAILY_EQUITY,Pricing and Reference Data,FactSet,INSTITUTIONAL_VENDOR,FALSE,40_PLUS_YEARS_DOCUMENTED,UNKNOWN_PENDING_SAMPLE,GLOBAL_COVERAGE_NOT_INDIA_SAMPLE,"EOD; real time; reference; corporate actions",STRONG_NORMALIZED,CONDITIONAL_ON_ENTITLEMENT,"API; data feed; cloud",YES,YES,ENTERPRISE_AGREEMENT_REQUIRED,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,ENTERPRISE,QUOTE_REQUIRED,HIGH,B,DAILY_AND_REALTIME,https://www.factset.com/marketplace/catalog/product/factset-pricing-and-reference-data,2026-07-19,PREMIUM_UPGRADE_CANDIDATE,FALSE
BLOOMBERG_DATALICENSE,A_DAILY_EQUITY,Data License,Bloomberg,INSTITUTIONAL_VENDOR,FALSE,20_PLUS_YEARS_BULK_DOCUMENTED,UNKNOWN_PENDING_SAMPLE,GLOBAL_COVERAGE_NOT_INDIA_SAMPLE,"pricing; reference; fundamentals; estimates; corporate actions",STRONG_NORMALIZED,CONDITIONAL_ON_PACKAGE,"REST; SFTP; cloud",YES,YES,ENTERPRISE_AGREEMENT_REQUIRED,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,ENTERPRISE,QUOTE_REQUIRED,HIGH,B,DAILY_AND_REALTIME,https://professional.bloomberg.com/products/data/data-management/data-license/,2026-07-19,PREMIUM_UPGRADE_CANDIDATE,FALSE
YAHOO_FINANCE,A_DAILY_EQUITY,Historical chart data,Yahoo Finance,PUBLIC_AGGREGATOR,FALSE,LONG_HISTORY_INSTRUMENT_DEPENDENT,UNKNOWN_PENDING_SAMPLE,NO_AUTHORITATIVE_POPULATION_PROOF,"prices; dividends; splits",OPAQUE,NO,MANUAL_CSV,NO,NO,CONSUMER_TERMS,INFORMATIONAL_ONLY,PROHIBITED,SUBSCRIPTION,"Gold subscription required for CSV download",LOW,UNUSABLE,DAILY,https://uk.help.yahoo.com/kb/finance/data-availability-yahoo-finance-sln2310.html,2026-07-19,REJECT_AS_AUTHORITY,FALSE
ALPHA_VANTAGE,A_DAILY_EQUITY,Global equity time series,Alpha Vantage,PUBLIC_API,FALSE,20_PLUS_YEARS_CLAIMED,UNKNOWN_PENDING_SAMPLE,INDIA_POPULATION_NOT_PROVEN,"OHLCV; adjusted series; dividends; splits",LIMITED,NO_INACTIVE_IDENTITY_PROOF,"REST; CSV",YES,NO,COMMERCIAL_AGREEMENT_REQUIRED,COMMERCIAL_QUOTE_REQUIRED,NOT_INCLUDED_BY_DEFAULT,SUBSCRIPTION,COMMERCIAL_QUOTE_REQUIRED,LOW,D,ON_DEMAND,https://www.alphavantage.co/terms_of_service/,2026-07-19,RESEARCH_VALIDATION_ONLY,FALSE
TWELVE_DATA_EOD,A_DAILY_EQUITY,End of day pricing,Twelve Data,PUBLIC_API,FALSE,FULL_HISTORY_CLAIMED_EXCHANGE_DEPENDENT,UNKNOWN_PENDING_SAMPLE,INDIA_SAMPLE_AND_LINEAGE_REQUIRED,"OHLCV; ISIN; MIC; corporate actions",LIMITED,UNKNOWN,"REST; JSON; CSV",YES,NO,BUSINESS_AGREEMENT_REQUIRED,BUSINESS_PLAN_AND_EXCHANGE_APPROVAL,SEPARATE_RIGHTS_REQUIRED,SUBSCRIPTION,QUOTE_OR_PLAN_DEPENDENT,MEDIUM,C,DAILY,https://support.twelvedata.com/en/articles/12682324-end-of-day-eod-pricing-market-data,2026-07-19,SECONDARY_ONLY_AFTER_RIGHTS,FALSE
NIFTY_PUBLIC_LEVELS,B_INDEX_HISTORY,Historical index OHLC and total return,NSE Indices,OFFICIAL_INDEX_ADMINISTRATOR,TRUE,INDEX_SPECIFIC_STARTS,UNKNOWN_PENDING_SAMPLE,DOWNLOAD_CAPABILITY_NOT_COMPLETENESS_TEST,"OHLC; TRI; NTR; valuation ratios",NOT_APPLICABLE,CONDITIONAL_ON_PUBLICATION_DATE,WEB_CSV,NO,PARTIAL,TERMS_APPLY,INTERNAL_USE_NOT_CONFIRMED,LICENSE_REQUIRED_FOR_SOME_USES,FREE,"Public access; use rights vary",HIGH,C,DAILY,https://www.niftyindices.com/reports/historical-data,2026-07-19,VERIFICATION_AND_PILOT,FALSE
NIFTY_SUBSCRIPTION,B_INDEX_HISTORY,Historical index values and constituent data,NSE Indices,OFFICIAL_INDEX_ADMINISTRATOR,TRUE,EXACT_DEPTH_REQUIRES_QUOTE,UNKNOWN_PENDING_SAMPLE,SUBSCRIPTION_CAPABILITY_NOT_MEASURED,"values; constituents; identifiers; weights; prices",NOT_APPLICABLE,CONDITIONAL_ON_DELIVERY_VERSION,SFTP_OR_FILE,NO,YES,INDEX_LICENSE_REQUIRED,AGREEMENT_REQUIRED,AGREEMENT_REQUIRED,SUBSCRIPTION,QUOTE_REQUIRED,HIGH,B,DAILY,https://www.niftyindices.com/offerings/data-subscription,2026-07-19,PRIMARY_INDEX_CANDIDATE,FALSE
BSE_INDEX_OHLC,B_INDEX_HISTORY,BSE index OHLC,BSE,OFFICIAL_EXCHANGE,TRUE,EXACT_DEPTH_REQUIRES_QUOTE,UNKNOWN_PENDING_SAMPLE,PORTAL_CAPABILITY_NOT_MEASURED,"daily open; high; low; close",NOT_APPLICABLE,CONDITIONAL_ON_REVISION_METADATA,API_OR_FILE,YES,YES,AGREEMENT_REQUIRED,AGREEMENT_REQUIRED,WRITTEN_PERMISSION_REQUIRED,SUBSCRIPTION,QUOTE_REQUIRED,MEDIUM,B,DAILY,https://marketdata.bseindia.com/,2026-07-19,COMPLEMENT_IF_REQUIRED,FALSE
NIFTY_CONSTITUENTS,C_INDEX_MEMBERSHIP,Historical index constituent data,NSE Indices,OFFICIAL_INDEX_ADMINISTRATOR,TRUE,EXACT_DEPTH_REQUIRES_QUOTE,UNKNOWN_PENDING_SAMPLE,CURRENT_DOWNLOADS_NOT_HISTORY,"company; identifier; market cap; weight; price; effective date required",NOT_APPLICABLE,CONDITIONAL_ON_EFFECTIVE_DATES,FILE_OR_SFTP,NO,YES,INDEX_LICENSE_REQUIRED,AGREEMENT_REQUIRED,AGREEMENT_REQUIRED,SUBSCRIPTION,QUOTE_REQUIRED,HIGH,B,DAILY_OR_REBALANCE,https://www.niftyindices.com/offerings/data-subscription,2026-07-19,MANDATORY_FOR_INDEX_REPLAY,FALSE
FACTSET_INDEX_REFERENCE,C_INDEX_MEMBERSHIP,Index and reference data,FactSet,INSTITUTIONAL_VENDOR,FALSE,PACKAGE_DEPENDENT,UNKNOWN_PENDING_SAMPLE,INDIA_MEMBERSHIP_SAMPLE_REQUIRED,"index membership; symbology; identifiers",NOT_APPLICABLE,CONDITIONAL_ON_POINT_IN_TIME_FIELDS,DATA_FEED,YES,YES,ENTERPRISE_AGREEMENT_REQUIRED,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,ENTERPRISE,QUOTE_REQUIRED,MEDIUM,B,DAILY,https://www.factset.com/marketplace/catalog/product/factset-pricing-and-reference-data,2026-07-19,ALTERNATIVE_OR_RECONCILIATION,FALSE
NSE_EOD_CA,D_CORPORATE_ACTIONS,EOD Corporate Data,NSE Data & Analytics,OFFICIAL_EXCHANGE,TRUE,EXACT_DEPTH_REQUIRES_QUOTE,UNKNOWN_PENDING_SAMPLE,DATASET_NOT_SAMPLED,"actions; announcements; financials; shareholding where included",STRONG_SOURCE,CONDITIONAL_ON_REVISION_AND_SUCCESSOR_LINEAGE,SFTP,NO,YES,AGREEMENT_REQUIRED,AGREEMENT_REQUIRED,WRITTEN_PERMISSION_REQUIRED,SUBSCRIPTION,"INR 500000 per annum per site before tax",HIGH,B,DAILY,https://www.nseindia.com/static/market-data/corporate-data-subscription,2026-07-19,PRIMARY_CA_CANDIDATE,FALSE
BSE_CORPORATE,D_CORPORATE_ACTIONS,Corporate and action data,BSE,OFFICIAL_EXCHANGE,TRUE,EXACT_DEPTH_REQUIRES_QUOTE,UNKNOWN_PENDING_SAMPLE,DATASET_NOT_SAMPLED,"actions; announcements; results; shareholding; meetings",STRONG_SOURCE,CONDITIONAL_ON_REVISION_AND_SUCCESSOR_LINEAGE,API_OR_FILE,YES,YES,AGREEMENT_REQUIRED,AGREEMENT_REQUIRED,WRITTEN_PERMISSION_REQUIRED,SUBSCRIPTION,QUOTE_REQUIRED,HIGH,B,EVENT_AND_DAILY,https://marketdata.bseindia.com/,2026-07-19,RFP_PRIMARY_COMPLEMENT,FALSE
CDSL_CA_MASTER,D_CORPORATE_ACTIONS,Corporate Action Master,CDSL,OFFICIAL_DEPOSITORY,TRUE,CURRENT_FORMAT_DOCUMENTED,UNKNOWN_PENDING_SAMPLE,HISTORICAL_DEPTH_NOT_PROVEN,"RTA corporate action setup",STRONG_CURRENT_SOURCE,NO_HISTORICAL_VERSION_PROOF,FILE,NO,PARTIAL,TERMS_OR_MEMBER_ACCESS_APPLY,NOT_CONFIRMED,NOT_CONFIRMED,REGISTRATION,QUOTE_OR_ACCESS_DEPENDENT,MEDIUM,C,DAILY_OR_EVENT,https://www.cdslindia.com/DP/Harmonization.html,2026-07-19,IDENTITY_AND_CA_VALIDATION,FALSE
GFDL_CORPORATE,D_CORPORATE_ACTIONS,Historical Corporate Data API,Global Datafeeds,LICENSED_VENDOR,FALSE,HISTORICAL_CLAIM_EXACT_DEPTH_REQUIRES_QUOTE,UNKNOWN_PENDING_SAMPLE,VENDOR_CLAIM_NOT_MEASURED,"actions; announcements; results; shareholding; sector",BROAD_NORMALIZED_CLAIM,UNKNOWN,REST,YES,NO,COMMERCIAL_AGREEMENT_REQUIRED,EXCHANGE_AGREEMENTS_REQUIRED,WRITTEN_PERMISSION_REQUIRED,SUBSCRIPTION,QUOTE_REQUIRED,MEDIUM,B,EVENT_AND_DAILY,https://globaldatafeeds.in/fundamental-data-apis/,2026-07-19,RFP_SHORTLIST,FALSE
SP_GLOBAL_MCA,D_CORPORATE_ACTIONS,Managed Corporate Actions,S&P Global,INSTITUTIONAL_VENDOR,FALSE,GLOBAL_HISTORY_PACKAGE_DEPENDENT,UNKNOWN_PENDING_SAMPLE,INDIA_SAMPLE_REQUIRED,"event terms; dates; options; restrictions; normalized golden record",STRONG_NORMALIZED,CONDITIONAL_ON_PACKAGE,DATA_FEED,YES,YES,ENTERPRISE_AGREEMENT_REQUIRED,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,ENTERPRISE,QUOTE_REQUIRED,HIGH,B,REALTIME,https://www.spglobal.com/market-intelligence/en/solutions/mca,2026-07-19,PREMIUM_CA_CANDIDATE,FALSE
NSE_MASTER,E_SECURITY_MASTER,Master Data,NSE Data & Analytics,OFFICIAL_EXCHANGE,TRUE,CURRENT_AND_ARCHIVAL_CAPABILITY_EXACT_DEPTH_REQUIRES_QUOTE,UNKNOWN_PENDING_SAMPLE,DATASET_NOT_SAMPLED,"security; contract; symbol; series; identifiers",PARTIAL_CA_FIELDS,CONDITIONAL_ON_ARCHIVAL_EFFECTIVE_DATES,SFTP,NO,YES,AGREEMENT_REQUIRED,AGREEMENT_REQUIRED,WRITTEN_PERMISSION_REQUIRED,SUBSCRIPTION,"INR 215000 per annum per site before tax",HIGH,B,DAILY,https://www.nseindia.com/static/market-data/paid-master-data,2026-07-19,PRIMARY_IDENTITY_CORE,FALSE
BSE_REFERENCE,E_SECURITY_MASTER,Security and reference data,BSE,OFFICIAL_EXCHANGE,TRUE,EXACT_DEPTH_REQUIRES_QUOTE,UNKNOWN_PENDING_SAMPLE,DATASET_NOT_SAMPLED,"security code; ISIN; status; reference attributes",PARTIAL_CA_FIELDS,CONDITIONAL_ON_HISTORICAL_VERSIONS,API_OR_FILE,YES,YES,AGREEMENT_REQUIRED,AGREEMENT_REQUIRED,WRITTEN_PERMISSION_REQUIRED,SUBSCRIPTION,QUOTE_REQUIRED,HIGH,B,DAILY,https://marketdata.bseindia.com/,2026-07-19,VENUE_COMPLEMENT,FALSE
CDSL_ISIN_MASTER,E_SECURITY_MASTER,ISIN Master,CDSL,OFFICIAL_DEPOSITORY,TRUE,CURRENT_DETAILS_DOCUMENTED,UNKNOWN_PENDING_SAMPLE,HISTORICAL_DEPTH_NOT_PROVEN,"current admitted ISIN details",PARTIAL,NO_HISTORICAL_VERSION_PROOF,FILE,NO,PARTIAL,TERMS_OR_MEMBER_ACCESS_APPLY,NOT_CONFIRMED,NOT_CONFIRMED,REGISTRATION,QUOTE_OR_ACCESS_DEPENDENT,MEDIUM,C,DAILY,https://www.cdslindia.com/DP/Harmonization.html,2026-07-19,CURRENT_IDENTITY_VALIDATOR,FALSE
UPSTOX_INSTRUMENTS,E_SECURITY_MASTER,BOD and suspended instruments,Upstox,BROKER_API,FALSE,CURRENT_BOD,UNKNOWN_PENDING_SAMPLE,CURRENT_MASTER_NOT_HISTORICAL_IDENTITY,"instrument key; exchange token; ISIN-like key; status",ABSENT,NO,JSON_FILE,YES,YES,BROKER_TERMS_APPLY,INTERNAL_OPERATIONAL_USE,NOT_CONFIRMED,REGISTRATION,"API usage documented as free",MEDIUM,D,DAILY,https://upstox.com/developer/api-documentation/instruments/,2026-07-19,LIVE_IDENTITY_ONLY,FALSE
NSE_DELIVERY,F_DELIVERY,Security-wise price volume and deliverable position,NSE,OFFICIAL_EXCHANGE,TRUE,DATE_DEPENDENT_ARCHIVES,UNKNOWN_PENDING_SAMPLE,ARCHIVE_NOT_FULLY_SAMPLED,"traded quantity; deliverable quantity; delivery percentage",NOT_APPLICABLE,CONDITIONAL_ON_ORIGINAL_PUBLICATION,WEB_OR_LICENSED_FILE,NO,PARTIAL,TERMS_OR_AGREEMENT_REQUIRED,NOT_CONFIRMED_FOR_BULK_RETENTION,NOT_CONFIRMED,FREE_OR_SUBSCRIPTION,QUOTE_DEPENDENT_FOR_LICENSED_BULK,HIGH,C,DAILY,https://www.sebi.gov.in/curation/equity_cash_market.html,2026-07-19,P0_SAMPLE_AND_RIGHTS,FALSE
BSE_DELIVERY,F_DELIVERY,Delivery Volumes EOD,BSE,OFFICIAL_EXCHANGE,TRUE,EXACT_DEPTH_REQUIRES_QUOTE,UNKNOWN_PENDING_SAMPLE,PRODUCT_NOT_SAMPLED,"deliverable quantity; delivery percentage",NOT_APPLICABLE,CONDITIONAL_ON_REVISION_METADATA,FILE,NO,YES,AGREEMENT_REQUIRED,INDIVIDUAL_OR_REDISTRIBUTION_LICENSE,SEPARATE_REDISTRIBUTION_PRICE,SUBSCRIPTION,"INR 35000 individual or INR 150000 redistribution annually before tax",HIGH,B,DAILY,https://www.bseindia.com/downloads1/Information_Products_Pricing_Sheet.pdf,2026-07-19,CONDITIONAL_COMPLEMENT,FALSE
NSE_BREADTH,G_MARKET_BREADTH,Advances and declines,NSE,OFFICIAL_EXCHANGE,TRUE,DAILY_AND_MONTHLY_ARCHIVES_DOCUMENTED,UNKNOWN_PENDING_SAMPLE,DENOMINATOR_AND_COMPLETENESS_NOT_TESTED,"advances; declines; ratio; market activity",NOT_APPLICABLE,CONDITIONAL_ON_UNIVERSE_DEFINITION,WEB_CSV,NO,PARTIAL,PUBLIC_TERMS_APPLY,NOT_CONFIRMED_FOR_BULK_RETENTION,NOT_CONFIRMED,FREE,"No access fee; rights not established",MEDIUM,C,DAILY_AND_MONTHLY,https://www.nseindia.com/all-reports/,2026-07-19,P0_DEFINITION_AUDIT,FALSE
BSE_BREADTH,G_MARKET_BREADTH,Market activity and breadth,BSE,OFFICIAL_EXCHANGE,TRUE,EXACT_DEPTH_REQUIRES_SAMPLE,UNKNOWN_PENDING_SAMPLE,ARCHIVE_NOT_FULLY_SAMPLED,"advances; declines; unchanged; turnover",NOT_APPLICABLE,CONDITIONAL_ON_UNIVERSE_DEFINITION,WEB_OR_FILE,NO,PARTIAL,PUBLIC_OR_AGREEMENT_TERMS,NOT_CONFIRMED_FOR_BULK_RETENTION,NOT_CONFIRMED,FREE_OR_SUBSCRIPTION,QUOTE_DEPENDENT,MEDIUM,C,DAILY,https://www.sebi.gov.in/curation/equity_cash_market.html,2026-07-19,P0_DEFINITION_AUDIT,FALSE
NSE_SHAREHOLDING,H_INSTITUTIONAL,Shareholding pattern filings,NSE,OFFICIAL_EXCHANGE,TRUE,FILING_DEPENDENT_HISTORY,UNKNOWN_PENDING_SAMPLE,POPULATION_AND_REVISION_NOT_TESTED,"promoter; public; institutional categories; pledge",PARTIAL,CONDITIONAL_ON_FILING_TIMESTAMP,WEB_OR_CORPORATE_FEED,NO,PARTIAL,PUBLIC_OR_CORPORATE_AGREEMENT,INTERNAL_RESEARCH_NOT_CONFIRMED_FOR_BULK,NOT_CONFIRMED,FREE_OR_SUBSCRIPTION,"Included in corporate products subject to package",HIGH,C,QUARTERLY_AND_EVENT,https://www.nseindia.com/static/companies-listing/compliance-information-compliance-calendar-main-board,2026-07-19,OFFICIAL_RAW_FILING_SOURCE,FALSE
SEBI_FPI_STATS,H_INSTITUTIONAL,FPI and mutual fund statistics,SEBI,REGULATOR,TRUE,ARCHIVES_DOCUMENTED,UNKNOWN_PENDING_SAMPLE,AGGREGATE_NOT_SECURITY_LEVEL,"FPI flows; AUC; sector aggregates; mutual fund flows",NOT_APPLICABLE,CONDITIONAL_ON_PUBLICATION_DATE,WEB_DOWNLOAD,NO,PARTIAL,PUBLIC_TERMS_APPLY,INTERNAL_RESEARCH,NOT_CONFIRMED,FREE,"No published access fee",HIGH,C,DAILY_TO_FORTNIGHTLY,https://www.sebi.gov.in/statistics/statistics.html,2026-07-19,REGIME_CONTEXT_ONLY,FALSE
AMFI_PORTFOLIOS,H_INSTITUTIONAL,Mutual fund portfolio disclosures,AMFI,INDUSTRY_BODY,TRUE,AMC_AND_PERIOD_DEPENDENT,UNKNOWN_PENDING_SAMPLE,COMPLETE_SECURITY_LEVEL_BACKFILL_NOT_TESTED,"scheme holdings; ISIN; AUM; monthly portfolio",NOT_APPLICABLE,CONDITIONAL_ON_AS_OF_AND_PUBLICATION_DATE,WEB_SPREADSHEET,NO,PARTIAL,PUBLIC_TERMS_APPLY,NOT_CONFIRMED_FOR_BULK_COMMERCIAL_USE,NOT_CONFIRMED,FREE,"No published access fee",MEDIUM,C,MONTHLY,https://www.amfiindia.com/research-information,2026-07-19,RESEARCH_BACKFILL_CANDIDATE,FALSE
FACTSET_OWNERSHIP,H_INSTITUTIONAL,Institutional Ownership Data,FactSet,INSTITUTIONAL_VENDOR,FALSE,17_PLUS_YEARS_DOCUMENTED,UNKNOWN_PENDING_SAMPLE,INDIA_SECURITY_SAMPLE_REQUIRED,"institutions; mutual funds; stakeholders; insiders; float",NOT_APPLICABLE,CONDITIONAL_ON_AS_REPORTED_FIELDS,DATA_FEED,YES,YES,ENTERPRISE_AGREEMENT_REQUIRED,PACKAGE_DEPENDENT,PACKAGE_DEPENDENT,ENTERPRISE,QUOTE_REQUIRED,HIGH,B,QUARTERLY_WITH_DAILY_UPDATES,https://www.factset.com/marketplace/catalog/product/factset-ownership,2026-07-19,PREMIUM_OWNERSHIP_CANDIDATE,FALSE
NSE_FINANCIAL_FILINGS,I_EARNINGS,Financial results and board notices,NSE,OFFICIAL_EXCHANGE,TRUE,FILING_DEPENDENT_HISTORY,UNKNOWN_PENDING_SAMPLE,POPULATION_AND_REVISION_NOT_TESTED,"reported results; board meeting; announcement timestamp",PARTIAL,YES_IF_ORIGINAL_FILING_PRESERVED,WEB_OR_CORPORATE_FEED,NO,PARTIAL,PUBLIC_OR_CORPORATE_AGREEMENT,INTERNAL_RESEARCH_NOT_CONFIRMED_FOR_BULK,NOT_CONFIRMED,FREE_OR_SUBSCRIPTION,"Included in corporate products subject to package",HIGH,C,EVENT,https://www.nseindia.com/static/companies-listing/compliance-information-compliance-calendar-main-board,2026-07-19,PRIMARY_ACTUALS_AND_EVENT_SOURCE,FALSE
BSE_FINANCIAL_FILINGS,I_EARNINGS,Financial results and results calendar,BSE,OFFICIAL_EXCHANGE,TRUE,FILING_DEPENDENT_HISTORY,UNKNOWN_PENDING_SAMPLE,POPULATION_AND_REVISION_NOT_TESTED,"reported results; board meetings; results calendar",PARTIAL,YES_IF_ORIGINAL_FILING_PRESERVED,API_OR_FILE,YES,YES,AGREEMENT_REQUIRED,AGREEMENT_REQUIRED,WRITTEN_PERMISSION_REQUIRED,SUBSCRIPTION,QUOTE_REQUIRED,HIGH,B,EVENT,https://marketdata.bseindia.com/,2026-07-19,OFFICIAL_COMPLEMENT,FALSE
